item,VAT,hierarchy1,hierarchy2,description,pack_description,qty_in_stock,cases_in_stock,EAN1,EAN2,EAN3,Internal EAN 1,Internal EAN 2,Internal EAN 3,Internal EAN 4,Pack 1,Sell 1,Pack 2,Sell 2,Pack 3,Sell 3,promID ,promStart,promEnd,promSell Pack 1,promSell for Sell 1,promSell Pack 2,promSell for Sell 2,promSell Pack 3,promSell for Sell 3,Max. Order,RRP,POR %,PMP/Plain,Type
903684,A,1,1004,FROSTY JACK WHITE CIDER PMP £6.09,4x2.5LTR,3,3,,,,,,,,,15.29,,,,,,,,,,,,,,,6.09,24.68,PMP,SINGLE
904416,A,1,1004,KNIGHTS VINTAGE GLASS BOTTLE,12x500ML,3,3,,,,,,,,,14.29,,,,,,,,,,,,,,,1.79,20.17,PLAIN,SINGLE
39605,A,2,2007,BELLARINI BIANCO,12x75CL,32,32,,,,,,,,,10.49,,,,,WEEK 51 PROMOTION,15/12/2025,21/12/2025,,10.49,,,,,,1.69,37.93,PLAIN,SINGLE
13378,A,1,1004,CRUMPTONS OAK APPLE CIDER,4x2.5LTR,2,2,,,,,,,,,11.49,,,,,,,,,,,,,,,4.99,30.92,PLAIN,SINGLE
39250,A,1,1004,BLACK STORM CIDER CAN PM£1.29,24x500ML,168,168,,,,,,,,,18.49,,,,,WEEK 51 PROMOTION,15/12/2025,21/12/2025,,17.99,,,,,,1.29,28.33,PMP,SINGLE
39580,A,1,1004,KNIGHTS CIDER CAN 8.4% 4PACK,6x500ML,83,83,,,,,,,,,20.99,,,,,,,,,,,,,,,5.49,23.53,PLAIN,SINGLE
39592,A,1,1004,FROSTY JACK WHITE CIDER CAN 4PACK,6x500ML,5,5,,,,,,,,,18.99,,,,,,,,,,,,,,,5.49,30.82,PLAIN,SINGLE
39600,A,1,1004,WHITE STORM CIDER PM £5.69,4x2.5LTR,3,3,,,,,,,,,13.49,,,,,,,,,,,,,,,5.69,28.88,PMP,SINGLE
39610,A,1,1004,WHITE STORM CIDER CAN PM£1.29,24x500ML,54,54,,,,,,,,,18.29,,,,,WEEK 51 PROMOTION,15/12/2025,21/12/2025,,17.49,,,,,,1.29,29.11,PMP,SINGLE
111764,A,3,3006,GABRIEL BOUDIER DIJON CREME DE CASSIS,1x50CL,6,1,,,,,,,,,11.49,6,68.75,,,,,,,,,,,,,15.99,13.77,PLAIN,VARIENT
111770,A,3,3004,HOXTON BANANA RUM,1x70CL,6,1,,,,,,,,,25.19,6,149.99,,,,,,,,,,,,,37.99,20.43,PLAIN,VARIENT
111777,A,3,3004,TANDUAY GOLD ASIAN RUM,1x70CL,2,0,,,,,,,,,17.79,6,106.15,,,,,,,,,,,,,26.99,20.9,PLAIN,VARIENT
111765,A,3,3006,GABRIEL BOUDIER CREME DE MURES,1x50CL,6,1,,,,,,,,,11.39,6,67.69,,,,,,,,,,,,,15.99,14.52,PLAIN,VARIENT
111768,A,3,3002,DADDY RACK TENNESSEE STRAIGHT WHISKEY,1x70CL,11,1,,,,,,,,,27.49,6,164.49,,,,,,,,,,,,,40.99,19.52,PLAIN,VARIENT
111771,A,3,3001,HOXTON DRY GIN,1x70CL,7,1,,,,,,,,,21.19,6,125.99,,,,,,,,,,,,,29.99,15.21,PLAIN,VARIENT
111772,A,3,3001,HOXTON GIN,1x70CL,7,1,,,,,,,,,25.59,6,152.99,,,,,,,,,,,,,37.99,19.17,PLAIN,VARIENT
111773,A,3,3006,HOXTON LONDON SPRITZ,1x70CL,7,1,,,,,,,,,20.19,6,119.99,,,,,,,,,,,,,29.99,19.21,PLAIN,VARIENT
111775,A,3,3001,HOXTON PINK,1x70CL,7,1,,,,,,,,,27.99,6,159.99,,,,,,,,,,,,,41.99,20.01,PLAIN,VARIENT
904759,A,4,4002,MOGU MOGU BLACKCURRENT DRINK,6x320ML,20,5,,,,,,,,,3.89,4,14.69,,,WEEK 51 PROMOTION,15/12/2025,21/12/2025,,3.49,,,,,,1.09,28.62,PLAIN,VARIENT
904760,A,4,4002,MOGU MOGU COCONUT DRINK,6x320ML,5,1,,,,,,,,,3.89,4,14.69,,,,,,,,,,,,,1.09,28.62,PLAIN,VARIENT
904762,A,4,4002,MOGU MOGU STRAWBERRY DRINK,6x320ML,24,6,,,,,,,,,3.89,4,14.69,,,WEEK 51 PROMOTION,15/12/2025,21/12/2025,,3.49,,,,,,1.09,28.62,PLAIN,VARIENT
904763,A,4,4002,MOGU MOGU WATERMELON DRINK,6x320ML,24,6,,,,,,,,,3.89,4,14.69,,,,,,,,,,,,,1.09,28.62,PLAIN,VARIENT
904786,A,4,4002,MOGU MOGU STRAWBERRY & CREAM,6x320ML,7,1,,,,,,,,,3.49,4,13.49,,,,,,,,,,,,,1.09,35.96,PLAIN,VARIENT
904788,A,4,4002,MOGU MOGU NATA DE COCO DRINK COTTON CANDY,6x320ML,19,4,,,,,,,,,3.89,4,14.69,,,,,,,,,,,,,1.09,28.62,PLAIN,VARIENT
904789,A,4,4002,MOGU MOGU ZERO DRINK SUMMER BERRIES,6x320ML,6,1,,,,,,,,,3.89,4,14.69,,,,,,,,,,,,,1.09,28.62,PLAIN,VARIENT
904790,A,4,4002,MOGU MOGU ZERO DRINK TROPICAL DELIGHT,6x320ML,1,0,,,,,,,,,3.89,4,14.69,,,,,,,,,,,,,1.09,28.62,PLAIN,VARIENT
904791,A,4,4002,MOGU MOGU NATA DE COCO BUBBLEGUM,6x320ML,7,1,,,,,,,,,3.89,4,14.69,,,,,,,,,,,,,1.09,28.62,PLAIN,VARIENT
905016,A,4,4002,MOGU MOGU PEACH FLAVOUR,6x320ML,8,2,,,,,,,,,3.89,4,14.69,,,,,,,,,,,,,1.09,28.62,PLAIN,VARIENT
151613,A,4,4002,MOGU MOGU PINEAPPLE,6x320ML,48,12,,,,,,,,,3.89,4,14.49,,,WEEK 51 PROMOTION,15/12/2025,21/12/2025,,3.49,,,,,,1.09,28.62,PLAIN,VARIENT
